Title,Author,PDF URL
Compositional Plan Vectors,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/00989c20ff1386dc386d8124ebcba1a5-Abstract.html
Learning to Propagate for Graph Meta-Learning,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/00ac8ed3b4327bdd4ebbebcb2ba10a00-Abstract.html
XNAS- Neural Architecture Search with Expert Advice,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/00e26af6ac3b1c1c49d7c3d79c60d000-Abstract.html
Multi-resolution Multi-task Gaussian Processes,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/0118a063b4aae95277f0bc1752c75abf-Abstract.html
Deep Equilibrium Models,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/01386bd6d8e091c2ab4c7c7de644d37b-Abstract.html
Cross Attention Network for Few-shot Classification,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/01894d6f048493d2cacde3c579c315a3-Abstract.html
Order Optimal One-Shot Distributed Learning,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/018b59ce1fd616d874afad0f44ba338d-Abstract.html
Exact Gaussian Processes on a Million Data Points,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/01ce84968c6969bdd5d51c5eeaa3946a-Abstract.html
Asymmetric Valleys- Beyond Sharp and Flat Local Minima,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/01d8bae291b1e4724443375634ccfa0e-Abstract.html
Calculating Optimistic Likelihoods Using (Geodesically) Convex Optimization,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/021e1ea77bd91aaa0fc4d01a943a654e-Abstract.html
Think out of the -Box-- Generically-Constrained Asynchronous Composite Optimization and Hedging,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/0224cd598e48c5041c7947fd5cb20d53-Abstract.html
Improved Precision and Recall Metric for Assessing Generative Models,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/0234c510bc6d908b28c70ff313743079-Abstract.html
A Direct tilde{O}(1-epsilon) Iteration Parallel Algorithm for Optimal Transport,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/024d2d699e6c1a82c9ba986386f4d824-Abstract.html
Zero-Shot Semantic Segmentation,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/0266e33d3f546cb5436a10798e657d97-Abstract.html
Hyperspherical Prototype Networks,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/02a32ad2669e6fe298e607fe7cc0e1a0-Abstract.html
Lower Bounds on Adversarial Robustness from Optimal Transport,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/02bf86214e264535e3412283e817deaa-Abstract.html
A Nonconvex Approach for Exact and Efficient Multichannel Sparse Blind Deconvolution,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/02e656adee09f8394b402d9958389b7d-Abstract.html
Generalization of Reinforcement Learners with Working and Episodic Memory,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/02ed812220b0705fabb868ddbf17ea20-Abstract.html
DTWNet- a Dynamic Time Warping Network,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/02f063c236c7eef66324b432b748d15d-Abstract.html
Learning Mean-Field Games,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/030e65da2b1c944090548d36b244b28d-Abstract.html
Learning Erdos-Renyi Random Graphs via Edge Detecting Queries,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/0336dcbab05b9d5ad24f4333c7658a0e-Abstract.html
Cormorant- Covariant Molecular Neural Networks,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/03573b32b2746e6e8ca98b9123f2249b-Abstract.html
Flattening a Hierarchical Clustering through Active Learning,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/03793ef7d06ffd63d34ade9d091f1ced-Abstract.html
Random Projections and Sampling Algorithms for Clustering of High-Dimensional Polygonal Curves,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/0394ea68951e3299bcdfa75a097d7c11-Abstract.html
Explicit Explore-Exploit Algorithms in Continuous State Spaces,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/03b264c595403666634ac75d828439bc-Abstract.html
How degenerate is the parametrization of neural networks with the ReLU activation function-,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/04115ec378e476c56d19d827bcf8db56-Abstract.html
Hyperbolic Graph Convolutional Neural Networks,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/0415740eaa4d9decbc8da001d3fd805f-Abstract.html
